Seed_1,Fold_1,Seed_2,Fold_2,Common_Features,Jaccard_Similarity
7,1,7,2,9,0.8181818181818182
7,1,7,3,9,0.8181818181818182
7,1,21,1,9,0.8181818181818182
7,1,21,2,10,1.0
7,1,21,3,9,0.8181818181818182
7,1,42,1,9,0.8181818181818182
7,1,42,2,9,0.8181818181818182
7,1,42,3,9,0.8181818181818182
7,1,52,1,9,0.8181818181818182
7,1,52,2,10,1.0
7,1,52,3,10,1.0
7,1,100,1,9,0.8181818181818182
7,1,100,2,9,0.8181818181818182
7,1,100,3,9,0.8181818181818182
7,2,7,3,9,0.8181818181818182
7,2,21,1,10,1.0
7,2,21,2,9,0.8181818181818182
7,2,21,3,9,0.8181818181818182
7,2,42,1,10,1.0
7,2,42,2,10,1.0
7,2,42,3,9,0.8181818181818182
7,2,52,1,10,1.0
7,2,52,2,9,0.8181818181818182
7,2,52,3,9,0.8181818181818182
7,2,100,1,10,1.0
7,2,100,2,10,1.0
7,2,100,3,10,1.0
7,3,21,1,9,0.8181818181818182
7,3,21,2,9,0.8181818181818182
7,3,21,3,8,0.6666666666666666
7,3,42,1,9,0.8181818181818182
7,3,42,2,9,0.8181818181818182
7,3,42,3,8,0.6666666666666666
7,3,52,1,9,0.8181818181818182
7,3,52,2,9,0.8181818181818182
7,3,52,3,9,0.8181818181818182
7,3,100,1,9,0.8181818181818182
7,3,100,2,9,0.8181818181818182
7,3,100,3,9,0.8181818181818182
21,1,21,2,9,0.8181818181818182
21,1,21,3,9,0.8181818181818182
21,1,42,1,10,1.0
21,1,42,2,10,1.0
21,1,42,3,9,0.8181818181818182
21,1,52,1,10,1.0
21,1,52,2,9,0.8181818181818182
21,1,52,3,9,0.8181818181818182
21,1,100,1,10,1.0
21,1,100,2,10,1.0
21,1,100,3,10,1.0
21,2,21,3,9,0.8181818181818182
21,2,42,1,9,0.8181818181818182
21,2,42,2,9,0.8181818181818182
21,2,42,3,9,0.8181818181818182
21,2,52,1,9,0.8181818181818182
21,2,52,2,10,1.0
21,2,52,3,10,1.0
21,2,100,1,9,0.8181818181818182
21,2,100,2,9,0.8181818181818182
21,2,100,3,9,0.8181818181818182
21,3,42,1,9,0.8181818181818182
21,3,42,2,9,0.8181818181818182
21,3,42,3,9,0.8181818181818182
21,3,52,1,9,0.8181818181818182
21,3,52,2,9,0.8181818181818182
21,3,52,3,9,0.8181818181818182
21,3,100,1,9,0.8181818181818182
21,3,100,2,9,0.8181818181818182
21,3,100,3,9,0.8181818181818182
42,1,42,2,10,1.0
42,1,42,3,9,0.8181818181818182
42,1,52,1,10,1.0
42,1,52,2,9,0.8181818181818182
42,1,52,3,9,0.8181818181818182
42,1,100,1,10,1.0
42,1,100,2,10,1.0
42,1,100,3,10,1.0
42,2,42,3,9,0.8181818181818182
42,2,52,1,10,1.0
42,2,52,2,9,0.8181818181818182
42,2,52,3,9,0.8181818181818182
42,2,100,1,10,1.0
42,2,100,2,10,1.0
42,2,100,3,10,1.0
42,3,52,1,9,0.8181818181818182
42,3,52,2,9,0.8181818181818182
42,3,52,3,9,0.8181818181818182
42,3,100,1,9,0.8181818181818182
42,3,100,2,9,0.8181818181818182
42,3,100,3,9,0.8181818181818182
52,1,52,2,9,0.8181818181818182
52,1,52,3,9,0.8181818181818182
52,1,100,1,10,1.0
52,1,100,2,10,1.0
52,1,100,3,10,1.0
52,2,52,3,10,1.0
52,2,100,1,9,0.8181818181818182
52,2,100,2,9,0.8181818181818182
52,2,100,3,9,0.8181818181818182
52,3,100,1,9,0.8181818181818182
52,3,100,2,9,0.8181818181818182
52,3,100,3,9,0.8181818181818182
100,1,100,2,10,1.0
100,1,100,3,10,1.0
100,2,100,3,10,1.0
